날짜,생산라인,생산량,설비온도,습도,진동값,압력,라인속도,수율,불량여부
2024-01-01,A라인,827.5,54.62,54.35,3.989,99.85,120.4,90.91,불량
2024-01-02,B라인,960.4,57.59,49.49,3.26,99.73,118.3,94.61,정상
2024-01-03,C라인,877.6,57.34,55.49,3.057,100.74,117.6,93.34,정상
2024-01-04,B라인,899.7,53.58,52.3,3.639,99.8,123.6,92.2,불량
2024-01-05,A라인,430.3,61.47,49.77,6.072,103.7,123.8,82.97,불량
2024-01-06,C라인,803.5,53.66,53.43,3.063,100.54,114.1,91.69,불량
2024-01-07,B라인,747.3,56.14,52.76,3.096,100.27,128.4,93.81,정상
2024-01-08,B라인,805.9,54.82,57.36,2.953,100.39,113.1,93.52,정상
2024-01-09,A라인,1022.2,56.66,53.95,2.543,99.81,118.0,96.48,정상
2024-01-10,B라인,945.6,51.02,51.94,4.374,98.29,122.4,88.95,불량
2024-01-11,A라인,849.7,58.6,61.05,2.51,100.71,129.9,97.32,정상
2024-01-12,C라인,793.9,55.01,59.12,3.44,101.33,117.6,91.6,불량
2024-01-13,A라인,805.5,56.79,60.55,3.084,99.34,121.4,94.77,정상
2024-01-14,A라인,879.3,55.07,57.74,3.338,101.0,127.5,94.01,정상
2024-01-15,A라인,900.5,54.62,54.68,3.117,99.66,123.4,92.9,불량
2024-01-16,B라인,1029.1,56.55,,3.124,100.95,126.4,95.01,정상
2024-01-17,B라인,1006.7,57.43,54.24,2.743,101.39,125.9,96.42,정상
2024-01-18,C라인,973.1,55.25,59.93,3.55,101.53,121.2,90.67,불량
2024-01-19,A라인,922.3,55.45,56.32,2.917,101.47,123.5,96.03,정상
2024-01-20,B라인,816.5,57.38,49.3,2.011,100.22,125.2,95.55,정상
2024-01-21,A라인,868.4,54.04,,3.406,101.96,119.5,93.19,정상
2024-01-22,A라인,912.2,52.72,49.91,4.553,100.5,129.3,90.03,불량
2024-01-23,A라인,975.6,57.01,57.17,2.979,101.38,107.8,94.91,정상
2024-01-24,B라인,1055.5,54.76,51.15,3.289,101.77,114.2,92.43,불량
2024-01-25,C라인,944.7,52.11,51.03,4.409,100.66,128.4,87.52,불량
2024-01-26,B라인,911.5,54.64,57.39,3.516,99.58,122.3,91.98,불량
2024-01-27,B라인,828.0,55.5,56.64,3.289,101.67,115.9,93.7,정상
2024-01-28,C라인,881.3,54.01,49.65,3.406,99.76,122.0,91.46,불량
2024-01-29,A라인,936.4,53.45,60.63,3.737,100.01,126.2,91.71,불량
2024-01-30,B라인,1084.2,56.92,67.13,2.921,99.78,116.4,95.02,정상
2024-01-31,C라인,1060.3,58.92,50.85,2.391,101.92,124.3,96.18,정상
2024-02-01,A라인,1016.0,56.54,65.83,2.623,100.81,119.0,96.11,정상
2024-02-02,B라인,1013.0,55.53,,3.193,98.52,119.1,93.97,정상
2024-02-03,A라인,764.3,58.12,55.66,2.942,101.8,119.3,96.37,정상
2024-02-04,A라인,866.1,58.96,,2.747,103.27,126.4,96.57,정상
2024-02-05,A라인,867.8,56.84,51.61,3.018,102.97,113.0,96.52,정상
2024-02-06,A라인,1065.7,58.81,64.07,2.724,100.37,117.6,96.49,정상
2024-02-07,A라인,1107.6,60.02,60.54,3.194,101.07,123.7,96.84,정상
2024-02-08,A라인,1072.7,57.39,55.05,2.856,101.55,112.5,95.92,정상
2024-02-09,A라인,982.2,56.17,,3.303,101.97,110.3,94.69,정상
2024-02-10,A라인,886.8,58.85,,3.127,101.03,123.2,96.42,정상
2024-02-11,B라인,1026.9,58.75,,2.605,99.79,119.8,97.45,정상
2024-02-12,A라인,1036.7,60.74,63.03,2.503,101.82,118.9,99.26,정상
2024-02-13,B라인,1086.1,55.62,51.18,3.425,101.67,120.6,92.97,불량
2024-02-14,A라인,1069.4,57.11,57.02,3.302,99.53,114.0,96.35,정상
2024-02-15,B라인,1094.7,56.85,59.73,2.965,100.58,137.3,95.44,정상
2024-02-16,A라인,980.2,55.01,63.86,3.382,101.28,113.9,93.35,정상
2024-02-17,C라인,937.9,59.23,65.29,2.564,100.99,117.2,95.65,정상
2024-02-18,B라인,989.5,60.24,57.23,2.118,101.56,111.3,99.1,정상
