날짜,매장,방문객수,객단가,매출액,날씨,프로모션
2024-01-01,강남점,591,23473,13882572,맑음,없음
2024-01-01,일산점,248,21177,5248049,맑음,없음
2024-01-01,판교점,406,23024,9351322,흐림,없음
2024-01-02,강남점,497,19484,9685452,맑음,없음
2024-01-02,일산점,242,28385,6870147,맑음,없음
2024-01-02,판교점,573,19278,11054879,맑음,진행
2024-01-03,강남점,831,20309,16880576,맑음,진행
2024-01-03,일산점,320,24628,7886199,흐림,없음
2024-01-03,판교점,409,24774,10120943,맑음,없음
2024-01-04,강남점,520,18902,9833843,맑음,없음
2024-01-04,일산점,211,19973,4205606,흐림,없음
2024-01-04,판교점,469,25231,11836293,흐림,없음
2024-01-05,강남점,730,23159,16906011,흐림,없음
2024-01-05,일산점,272,25596,6973367,비,없음
2024-01-05,판교점,497,22615,11246132,비,없음
2024-01-06,강남점,621,22210,13789684,흐림,없음
2024-01-06,일산점,351,26333,9249344,맑음,없음
2024-01-06,판교점,612,23525,14400807,맑음,없음
2024-01-07,강남점,527,24334,12824253,맑음,없음
2024-01-07,일산점,244,20909,5106344,흐림,없음
2024-01-07,판교점,387,20425,7912776,맑음,없음
2024-01-08,강남점,610,19298,11776515,맑음,없음
2024-01-08,일산점,235,24381,5734184,맑음,없음
2024-01-08,판교점,376,24268,9125471,흐림,없음
2024-01-09,강남점,693,20833,14435473,비,진행
2024-01-09,일산점,264,28085,7411864,맑음,없음
2024-01-09,판교점,388,18745,7276565,비,없음
2024-01-10,강남점,510,23308,11894912,맑음,없음
2024-01-10,일산점,247,25555,6320898,맑음,없음
2024-01-10,판교점,370,23375,8650139,흐림,없음
2024-01-11,강남점,556,18023,10023054,흐림,없음
2024-01-11,일산점,286,24474,6995628,비,없음
2024-01-11,판교점,374,27228,10181030,맑음,없음
2024-01-12,강남점,841,26343,22160164,비,진행
2024-01-12,일산점,480,22510,10800680,비,진행
2024-01-12,판교점,516,22924,11827481,맑음,없음
2024-01-13,강남점,621,25163,15620265,맑음,없음
2024-01-13,일산점,415,25307,10507678,맑음,없음
2024-01-13,판교점,487,30348,14790595,맑음,없음
2024-01-14,강남점,598,21951,13134091,흐림,없음
2024-01-14,일산점,309,21731,6715605,맑음,없음
2024-01-14,판교점,446,20922,9326757,흐림,없음
2024-01-15,강남점,497,28759,14279126,맑음,없음
2024-01-15,일산점,387,23157,8972715,흐림,없음
2024-01-15,판교점,498,23021,11468194,맑음,없음
2024-01-16,강남점,595,27385,16295637,맑음,없음
2024-01-16,일산점,281,24967,7013851,맑음,없음
2024-01-16,판교점,453,23584,10678560,맑음,없음
2024-01-17,강남점,557,17547,9770249,흐림,없음
2024-01-17,일산점,266,24198,6438141,맑음,없음
2024-01-17,판교점,465,25924,12067721,맑음,없음
2024-01-18,강남점,704,21334,15010736,비,진행
2024-01-18,일산점,335,27553,9235030,맑음,없음
2024-01-18,판교점,417,26629,11115770,맑음,없음
2024-01-19,강남점,688,22294,15340433,맑음,없음
2024-01-19,일산점,415,19710,8187459,맑음,없음
2024-01-19,판교점,533,24090,12839286,흐림,없음
2024-01-20,강남점,627,24009,15047225,비,없음
2024-01-20,일산점,527,27584,14525750,흐림,진행
2024-01-20,판교점,597,19914,11896647,흐림,없음
2024-01-21,강남점,558,21448,11966430,맑음,없음
2024-01-21,일산점,389,21220,8254742,맑음,진행
2024-01-21,판교점,388,27199,10542068,맑음,없음
2024-01-22,강남점,532,23221,12361766,맑음,없음
2024-01-22,일산점,439,20741,9101867,맑음,진행
2024-01-22,판교점,373,25283,9437331,맑음,없음
2024-01-23,강남점,724,22289,16133975,맑음,진행
2024-01-23,일산점,400,22244,8890579,맑음,진행
2024-01-23,판교점,403,25659,10338738,맑음,없음
2024-01-24,강남점,532,17461,9295170,맑음,없음
2024-01-24,일산점,349,26846,9374967,맑음,없음
2024-01-24,판교점,485,19734,9574397,맑음,없음
2024-01-25,강남점,554,24200,13406733,흐림,없음
2024-01-25,일산점,323,23647,7629963,맑음,없음
2024-01-25,판교점,458,24831,11371621,맑음,없음
2024-01-26,강남점,751,27503,20656043,맑음,없음
2024-01-26,일산점,449,27617,12413577,비,없음
2024-01-26,판교점,573,23231,13315513,흐림,없음
2024-01-27,강남점,708,24211,17134710,맑음,없음
2024-01-27,일산점,458,27163,12440066,맑음,없음
2024-01-27,판교점,540,26024,14043495,맑음,없음
2024-01-28,강남점,632,26855,16964979,맑음,없음
2024-01-28,일산점,295,24483,7233205,흐림,없음
2024-01-28,판교점,567,26114,14796913,맑음,진행
2024-01-29,강남점,617,27985,17268216,흐림,없음
2024-01-29,일산점,272,23954,6523726,비,없음
2024-01-29,판교점,392,21542,8445412,비,없음
2024-01-30,강남점,624,24658,15390015,흐림,없음
2024-01-30,일산점,343,23990,8225214,맑음,없음
2024-01-30,판교점,446,23362,10425308,맑음,없음
2024-01-31,강남점,538,24931,13411128,맑음,없음
2024-01-31,일산점,276,25024,6909757,맑음,없음
2024-01-31,판교점,419,23707,9922868,흐림,없음
2024-02-01,강남점,609,24976,15211424,흐림,없음
