진료일,진료과,접수시각,대기환자수,접수시스템,대기시간분
2024-05-20,피부과,9,22,기존시스템,26.9
2024-03-15,소아과,17,12,기존시스템,22.7
2024-06-07,내과,10,25,신규시스템,16.7
2024-03-31,정형외과,11,33,신규시스템,29.8
2024-05-19,소아과,14,24,기존시스템,21.5
2024-04-18,정형외과,10,41,신규시스템,41.3
2024-03-11,정형외과,9,26,기존시스템,37.7
2024-06-25,소아과,16,11,기존시스템,22.2
2024-05-04,피부과,15,21,기존시스템,29.1
2024-03-20,정형외과,17,13,기존시스템,18.2
2024-06-28,내과,10,28,기존시스템,26.1
2024-06-11,소아과,17,11,기존시스템,18.4
2024-03-03,소아과,15,16,기존시스템,19.1
2024-03-20,소아과,15,22,기존시스템,26.3
2024-03-13,내과,15,21,기존시스템,21.6
2024-04-10,정형외과,9,29,신규시스템,37.5
2024-04-18,소아과,16,14,기존시스템,15.3
2024-05-21,피부과,10,35,신규시스템,30.0
2024-05-28,내과,11,34,기존시스템,31.7
2024-05-13,내과,14,31,신규시스템,31.7
2024-04-23,내과,17,19,기존시스템,19.7
2024-06-23,내과,9,32,신규시스템,30.8
2024-04-14,내과,9,24,신규시스템,26.5
2024-04-19,정형외과,14,31,신규시스템,35.7
2024-04-18,내과,10,28,신규시스템,18.9
2024-06-21,소아과,16,18,기존시스템,26.3
2024-06-27,내과,15,23,신규시스템,22.9
2024-06-20,내과,15,21,기존시스템,28.0
2024-05-10,피부과,17,15,기존시스템,16.6
2024-05-25,소아과,16,21,기존시스템,25.6
2024-04-19,내과,14,20,기존시스템,31.0
2024-03-03,소아과,9,34,신규시스템,21.4
2024-05-10,내과,9,26,신규시스템,26.2
2024-06-04,피부과,14,24,신규시스템,22.0
2024-03-14,피부과,9,25,기존시스템,35.1
2024-06-17,정형외과,17,9,기존시스템,26.4
2024-05-05,내과,16,16,기존시스템,15.5
2024-05-02,피부과,10,32,신규시스템,28.0
2024-06-11,내과,16,16,신규시스템,12.9
2024-03-24,내과,14,23,기존시스템,21.8
2024-06-25,피부과,14,23,기존시스템,20.2
2024-03-22,피부과,14,24,기존시스템,23.5
2024-05-28,피부과,17,9,기존시스템,16.5
2024-06-10,내과,14,30,기존시스템,26.5
2024-05-18,피부과,9,24,신규시스템,26.0
2024-03-11,소아과,11,45,신규시스템,31.2
2024-05-23,내과,9,27,신규시스템,20.7
2024-05-05,내과,16,10,기존시스템,19.2
2024-06-27,내과,16,9,기존시스템,17.0
2024-03-25,내과,9,27,기존시스템,30.5
2024-03-27,피부과,15,19,기존시스템,21.2
2024-04-06,소아과,10,35,신규시스템,31.1
2024-06-09,피부과,17,18,기존시스템,31.0
2024-06-26,피부과,10,28,신규시스템,33.8
2024-06-25,소아과,9,32,신규시스템,31.7
2024-04-03,내과,16,18,기존시스템,24.1
2024-05-25,내과,17,7,기존시스템,10.0
2024-05-22,내과,11,40,신규시스템,32.2
2024-04-08,정형외과,16,22,신규시스템,24.4
2024-06-01,정형외과,9,34,신규시스템,31.1
2024-05-18,피부과,11,35,신규시스템,32.7
2024-04-04,정형외과,15,26,신규시스템,23.1
2024-04-11,내과,14,25,기존시스템,24.8
2024-03-18,내과,14,24,기존시스템,20.2
2024-04-17,소아과,16,14,기존시스템,18.0
2024-06-01,소아과,9,32,신규시스템,30.4
2024-05-10,내과,9,29,신규시스템,23.1
2024-04-24,피부과,15,22,기존시스템,22.4
2024-06-09,정형외과,10,32,신규시스템,37.1
2024-04-04,소아과,9,29,신규시스템,22.1
2024-03-23,피부과,10,35,신규시스템,27.8
2024-03-26,내과,14,26,기존시스템,28.7
2024-04-22,소아과,15,19,기존시스템,22.5
2024-06-27,피부과,10,33,기존시스템,34.0
2024-05-06,내과,10,32,신규시스템,30.3
2024-05-17,정형외과,17,11,기존시스템,21.2
2024-06-10,정형외과,9,23,기존시스템,34.7
2024-05-02,내과,16,13,기존시스템,22.1
2024-05-08,정형외과,9,33,신규시스템,35.4
2024-03-14,피부과,17,12,기존시스템,20.1
2024-04-05,내과,17,11,기존시스템,20.1
2024-06-18,내과,15,15,신규시스템,9.6
2024-05-28,정형외과,17,11,기존시스템,26.1
2024-04-09,내과,9,28,신규시스템,22.8
2024-05-11,내과,11,36,신규시스템,36.7
2024-06-03,정형외과,16,21,기존시스템,34.3
2024-03-07,소아과,17,4,기존시스템,7.6
2024-06-17,내과,9,30,기존시스템,27.8
2024-04-02,내과,17,15,기존시스템,17.4
2024-03-25,내과,16,20,신규시스템,21.9
2024-06-17,피부과,14,27,신규시스템,25.9
2024-06-26,소아과,11,39,신규시스템,38.0
2024-03-21,내과,16,15,기존시스템,19.1
2024-06-16,정형외과,10,35,신규시스템,35.5
2024-05-05,정형외과,16,16,신규시스템,21.2
2024-05-07,소아과,9,29,신규시스템,27.1
