고객번호,가입개월,요금제,월요금,월사용량GB,고객센터문의,연체횟수,이탈여부
C00001,52,표준,44179,7.9,1,1,유지
C00002,27,알뜰,22856,4.4,0,1,유지
C00003,23,알뜰,18508,8.1,0,0,유지
C00004,34,표준,43460,6.9,1,0,유지
C00005,50,표준,43343,10.4,1,0,유지
C00006,54,프리미엄,76079,23.7,2,1,유지
C00007,18,표준,40850,10.9,0,0,유지
C00008,16,알뜰,19755,1.7,1,0,유지
C00009,32,표준,46959,11.5,1,0,유지
C00010,35,프리미엄,78179,17.1,0,0,유지
C00011,15,알뜰,23803,8.9,1,0,유지
C00012,22,알뜰,20037,4.3,1,0,유지
C00013,55,표준,49440,15.2,2,0,유지
C00014,45,표준,43317,14.2,2,2,유지
C00015,51,표준,43961,16.4,1,0,유지
C00016,33,프리미엄,78948,19.2,0,1,이탈
C00017,23,표준,43736,15.4,1,0,이탈
C00018,12,표준,45375,4.8,1,0,유지
C00019,40,프리미엄,81737,14.0,3,0,유지
C00020,31,표준,46272,11.4,0,1,유지
C00021,25,알뜰,20991,5.4,2,2,유지
C00022,15,프리미엄,81141,16.0,1,0,유지
C00023,30,표준,43652,11.7,1,0,유지
C00024,3,프리미엄,77030,18.7,4,1,유지
C00025,4,표준,45853,12.4,1,0,유지
C00026,7,프리미엄,79036,12.7,6,0,유지
C00027,51,알뜰,16952,8.1,1,0,유지
C00028,21,표준,46005,12.3,0,3,유지
C00029,8,표준,43807,9.6,2,0,유지
C00030,1,알뜰,18863,3.4,0,0,유지
C00031,56,알뜰,18845,7.4,0,0,유지
C00032,46,표준,42001,10.1,2,1,유지
C00033,10,표준,40826,9.9,3,0,유지
C00034,48,표준,46962,13.1,0,0,유지
C00035,34,알뜰,25144,10.3,0,0,유지
C00036,2,표준,44448,10.3,1,1,유지
C00037,8,알뜰,21741,3.9,0,0,유지
C00038,32,프리미엄,77850,17.7,1,2,유지
C00039,42,표준,47725,9.2,0,1,유지
C00040,26,알뜰,22907,1.3,0,1,이탈
C00041,9,표준,49269,12.6,2,0,유지
C00042,24,알뜰,23196,6.4,2,2,이탈
C00043,51,알뜰,25567,2.5,2,0,유지
C00044,5,표준,41166,9.3,1,0,유지
C00045,38,프리미엄,75544,16.8,1,0,유지
C00046,56,표준,45326,7.6,0,0,유지
C00047,37,표준,44423,13.4,0,0,유지
C00048,18,표준,42890,11.5,0,1,유지
C00049,14,알뜰,19170,2.0,0,0,유지
C00050,56,표준,41188,5.2,2,0,유지
C00051,40,알뜰,21958,11.1,0,0,유지
C00052,24,알뜰,20998,0.5,0,0,이탈
C00053,7,표준,46832,13.3,3,1,유지
C00054,13,프리미엄,76547,19.0,1,0,유지
C00055,27,프리미엄,78093,19.6,1,1,유지
C00056,15,표준,46357,7.6,0,0,유지
C00057,16,표준,47031,10.0,0,0,유지
C00058,15,알뜰,20770,4.7,1,0,유지
C00059,12,표준,45028,15.6,2,0,유지
C00060,48,알뜰,26542,6.4,0,2,유지
C00061,29,알뜰,16337,1.3,2,0,유지
C00062,49,표준,45921,12.1,0,1,유지
C00063,40,표준,45900,13.6,0,0,유지
C00064,48,알뜰,21374,8.9,1,1,유지
C00065,40,알뜰,17579,4.9,1,0,유지
C00066,16,표준,44902,11.1,0,1,이탈
C00067,17,표준,43297,8.7,1,0,유지
C00068,18,표준,43804,10.4,1,1,이탈
C00069,13,표준,42942,12.2,0,0,유지
C00070,32,프리미엄,75191,19.7,0,1,유지
C00071,57,프리미엄,77856,13.0,2,0,유지
C00072,42,프리미엄,74627,18.3,2,0,유지
C00073,47,표준,46927,12.3,0,1,유지
C00074,42,프리미엄,78253,18.9,0,1,유지
C00075,22,알뜰,20751,0.5,2,0,유지
C00076,50,표준,45152,9.9,1,0,유지
C00077,16,알뜰,24141,9.1,0,0,유지
C00078,46,알뜰,21270,10.8,0,1,유지
C00079,3,표준,47224,11.0,0,0,유지
C00080,31,표준,51647,11.2,1,0,유지
C00081,40,프리미엄,78682,14.3,0,0,유지
C00082,41,알뜰,23478,4.7,1,0,유지
C00083,7,알뜰,20909,5.5,5,1,이탈
C00084,46,표준,45380,16.7,2,2,유지
C00085,3,프리미엄,76423,10.8,3,0,유지
C00086,12,알뜰,26133,9.4,2,2,유지
C00087,5,알뜰,20388,9.1,1,0,유지
C00088,58,알뜰,23604,9.4,3,0,유지
C00089,30,알뜰,20473,2.9,0,1,유지
C00090,32,표준,45261,11.2,1,0,유지
C00091,28,알뜰,19671,5.3,1,1,유지
C00092,38,알뜰,19324,7.1,0,1,유지
C00093,13,알뜰,25243,4.6,1,0,유지
C00094,40,표준,47514,8.7,0,0,유지
C00095,25,표준,45443,8.7,0,3,유지
C00096,42,알뜰,21010,2.4,1,1,유지
C00097,33,알뜰,21489,9.4,1,1,유지
C00098,6,표준,42000,7.9,3,1,유지
C00099,27,알뜰,22246,3.3,1,1,유지
C00100,5,알뜰,25354,8.6,2,1,유지
C00101,43,표준,42786,9.9,1,1,유지
C00102,18,알뜰,27740,5.1,0,0,유지
C00103,59,표준,45456,13.5,2,0,유지
C00104,8,표준,48731,10.7,1,1,유지
C00105,33,알뜰,23221,7.3,0,0,유지
C00106,45,알뜰,19058,5.4,0,0,유지
C00107,29,표준,41555,4.1,1,0,유지
C00108,28,프리미엄,81452,15.4,0,0,유지
C00109,44,프리미엄,80840,18.5,1,0,유지
C00110,11,프리미엄,75455,16.3,1,0,유지
C00111,46,표준,50041,13.8,1,0,이탈
C00112,24,알뜰,21424,4.1,0,0,유지
C00113,3,표준,53161,9.7,2,1,유지
C00114,12,알뜰,20720,3.9,0,0,유지
